Area,MTU,Biomass - Actual Aggregated [MW],Fossil Brown coal/Lignite - Actual Aggregated [MW],Fossil Coal-derived gas - Actual Aggregated [MW],Fossil Gas - Actual Aggregated [MW],Fossil Hard coal - Actual Aggregated [MW],Fossil Oil - Actual Aggregated [MW],Fossil Oil shale - Actual Aggregated [MW],Fossil Peat - Actual Aggregated [MW],Geothermal - Actual Aggregated [MW],Hydro Pumped Storage - Actual Aggregated [MW],Hydro Pumped Storage - Actual Consumption [MW],Hydro Run-of-river and poundage - Actual Aggregated [MW],Hydro Water Reservoir - Actual Aggregated [MW],Marine - Actual Aggregated [MW],Nuclear - Actual Aggregated [MW],Other - Actual Aggregated [MW],Other renewable - Actual Aggregated [MW],Solar - Actual Aggregated [MW],Waste - Actual Aggregated [MW],Wind Offshore - Actual Aggregated [MW],Wind Onshore - Actual Aggregated [MW]
Denmark (DK),14.01.2025 00:00 - 14.01.2025 01:00 (CET/CEST),579,n/e,n/e,137,262,34,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,76,2223,3420
Denmark (DK),14.01.2025 01:00 - 14.01.2025 02:00 (CET/CEST),534,n/e,n/e,138,261,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,75,2223,3359
Denmark (DK),14.01.2025 02:00 - 14.01.2025 03:00 (CET/CEST),542,n/e,n/e,144,262,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,85,2216,3151
Denmark (DK),14.01.2025 03:00 - 14.01.2025 04:00 (CET/CEST),566,n/e,n/e,150,263,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,85,2155,3024
Denmark (DK),14.01.2025 04:00 - 14.01.2025 05:00 (CET/CEST),540,n/e,n/e,143,262,28,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,85,2236,2917
Denmark (DK),14.01.2025 05:00 - 14.01.2025 06:00 (CET/CEST),471,n/e,n/e,140,257,27,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,76,2289,2795
Denmark (DK),14.01.2025 06:00 - 14.01.2025 07:00 (CET/CEST),502,n/e,n/e,145,263,29,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,85,2288,2813
Denmark (DK),14.01.2025 07:00 - 14.01.2025 08:00 (CET/CEST),566,n/e,n/e,147,230,37,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,87,2303,2946
Denmark (DK),14.01.2025 08:00 - 14.01.2025 09:00 (CET/CEST),639,n/e,n/e,142,210,37,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,86,2380,2899
Denmark (DK),14.01.2025 09:00 - 14.01.2025 10:00 (CET/CEST),591,n/e,n/e,156,224,40,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,16,88,2324,2733
Denmark (DK),14.01.2025 10:00 - 14.01.2025 11:00 (CET/CEST),556,n/e,n/e,169,226,40,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,54,87,2318,2754
Denmark (DK),14.01.2025 11:00 - 14.01.2025 12:00 (CET/CEST),597,n/e,n/e,175,229,40,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,96,86,2287,2682
Denmark (DK),14.01.2025 12:00 - 14.01.2025 13:00 (CET/CEST),611,n/e,n/e,177,234,41,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,148,88,2308,2672
Denmark (DK),14.01.2025 13:00 - 14.01.2025 14:00 (CET/CEST),681,n/e,n/e,177,239,43,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,202,87,2338,2658
Denmark (DK),14.01.2025 14:00 - 14.01.2025 15:00 (CET/CEST),705,n/e,n/e,178,237,42,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,193,89,2298,2444
Denmark (DK),14.01.2025 15:00 - 14.01.2025 16:00 (CET/CEST),636,n/e,n/e,184,250,44,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,95,2330,2464
Denmark (DK),14.01.2025 16:00 - 14.01.2025 17:00 (CET/CEST),702,n/e,n/e,188,257,46,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4,98,2370,2273
Denmark (DK),14.01.2025 17:00 - 14.01.2025 18:00 (CET/CEST),683,n/e,n/e,192,262,47,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,98,2330,2275
Denmark (DK),14.01.2025 18:00 - 14.01.2025 19:00 (CET/CEST),749,n/e,n/e,192,257,46,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,98,2298,2462
Denmark (DK),14.01.2025 19:00 - 14.01.2025 20:00 (CET/CEST),630,n/e,n/e,184,236,45,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,100,2286,2545
Denmark (DK),14.01.2025 20:00 - 14.01.2025 21:00 (CET/CEST),619,n/e,n/e,178,217,44,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,98,2288,2448
Denmark (DK),14.01.2025 21:00 - 14.01.2025 22:00 (CET/CEST),712,n/e,n/e,166,211,43,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,91,2184,2229
Denmark (DK),14.01.2025 22:00 - 14.01.2025 23:00 (CET/CEST),741,n/e,n/e,165,207,42,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,88,2158,2011
Denmark (DK),14.01.2025 23:00 - 15.01.2025 00:00 (CET/CEST),709,n/e,n/e,181,209,42,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,90,2006,1644
