Time,Data_1,Data_2,Data_3,Data_4,,,,
0,22.19214,2.19562,13.62883,5.86381,,,,
1,22.19214,1.16313,13.62883,5.86381,,,,
2,19.8061,1.16313,13.62886,5.75665,,,,
3,20.00377,1.62519,13.62888,5.77763,,,,
4,20.05318,2.00616,13.62891,5.78951,,,,45.02331
5,20.05994,2.06662,13.62893,5.79874,,,,
6,20.05995,2.06684,13.62895,5.80735,,,,
7,20.05995,2.06733,13.62898,5.81569,,,,
8,20.05996,2.06811,13.629,5.82387,,,,
9,20.05997,2.06897,13.62902,5.83194,,,,
10,20.05998,2.07018,13.62904,5.83956,,,,
11,20.05998,2.0714,13.62906,5.84719,,,,
12,20.05999,2.07268,13.62908,5.85452,,,,
13,20.05999,2.07401,13.62911,5.86156,,,,
14,20.05999,2.07535,13.62913,5.86837,,,,
15,20.05999,2.07668,13.62915,5.87495,,,,
16,20.05999,2.07801,13.62917,5.88129,,,,
17,20.05999,2.07933,13.62918,5.88741,,,,
18,20.05999,2.08063,13.6292,5.89316,,,,
19,20.05999,2.08193,13.62922,5.89887,,,,
20,20.05999,2.08321,13.62924,5.90431,,,,
21,20.05999,2.08447,13.62926,5.90948,,,,
22,20.05999,2.08573,13.62928,5.9146,,,,
23,20.05999,2.08696,13.62929,5.91928,,,,
24,20.05998,2.08819,13.62931,5.92395,,,,
